Numbers,1 Thread [s],2 Threads [s],2 Threads [%],4 Threads [s],4 Threads [%]
10000,0.205,0.193,94.146341,0.122,59.512195
20000,0.59,0.83,140.677966,0.432,73.220339
30000,1.36,1.837,135.073529,0.903,66.397059
40000,2.312,3.077,133.088235,1.468,63.49481
50000,3.69,4.669,126.531165,2.619,70.97561
75000,8.522,10.491,123.104905,5.129,60.185402
100000,14.329,17.609,122.890641,8.842,61.707028
150000,30.28,41.318,136.453104,19.155,63.259577
200000,65.707,80.279,122.177241,37.674,57.336357
500000,401.405,534.068,133.049663,263.623,65.675066
50000,3.701,5.177,139.881113,2.324,62.79384

15000,0.347000,0.519000,149.567723,0.276000,79.538905
50000,3.513000,4.907000,139.681184,2.216000,63.079989
40000,2.105000,2.755000,130.878860,1.398000,66.413302
50000,3.242000,4.676000,144.231956,2.137000,65.916101